"id_subrama","id_rama","nombre_subrama","descripcion","variedad","created_at","updated_at","activo"
"SR_AL_0015","RA_AL_0008","CERÁMICA DE ALTA TEMPERATURA","NA","NA","2020-07-25 22:34:08","2023-10-20 20:41:15","1"
"SR_AR_0046","RA_TA_0011","ARTÍCULO TRADICIONAL PITEADO",NULL,,"2020-08-25 02:17:03","2020-08-25 02:35:49","1"
"SR_AR_0047","RA_TA_0011","ARTÍCULO TRADICIONAL REPUJADO",NULL,,"2020-08-25 02:17:03","2020-08-25 02:35:49","1"
"SR_CA_0045","RA_CA_0017","CARTONERÍA",NULL,,"2020-08-25 02:15:50","2020-08-25 02:35:49","1"
"SR_CI_0048","RA_TA_0011","CINCELADO",NULL,,"2020-08-25 02:17:57","2020-08-25 02:35:49","1"
"SR_CI_0049","RA_TA_0011","INDUMENTARIA TRADICIONAL",NULL,,"2020-08-25 02:17:57","2020-08-25 02:35:49","1"
"SR_CI_0051","RA_LA_0010","CINCELADO",NULL,,"2020-08-25 02:20:14","2020-08-25 02:35:49","1"
"SR_CO_0059","RA_CO_0014","CONCHA Y CARACOL",NULL,,"2020-08-25 02:27:52","2020-08-25 02:35:49","1"
"SR_EN_0041","RA_JO_0003","ENGARZADO",NULL,,"2020-08-25 02:13:19","2020-08-25 02:35:49","1"
"SR_ES_0057","RA_VI_0015","ESTIRADO",NULL,,"2020-08-25 02:22:59","2020-08-25 02:35:49","1"
"SR_FI_0009","RA_FI_0002","FIBRAS VEGETALES DURAS",,"CARRIZO , JICARA","2017-11-07 01:13:00","2020-08-16 20:13:01","1"
"SR_FI_0010","RA_FI_0002","FIBRAS VEGETALES SEMIDURAS",,"PALMA,HOJA DE PINO,TOTOMOXLE.","2017-11-07 01:13:43","2020-08-25 02:29:05","1"
"SR_FI_0013","RA_OR_0004","FILIGRANA",,,"2018-04-02 16:55:44","2018-04-02 16:55:44","1"
"SR_FI_0042","RA_JO_0003","FILIGRANA",NULL,,"2020-08-25 02:13:49","2020-08-25 02:35:49","1"
"SR_FL_0007","RA_AL_0008","BARRO NATURAL",,,"2017-10-24 18:57:28","2020-08-24 21:18:38","1"
"SR_HE_0037","RA_ME_0005","HERRERÍA ARTÍSTICA FORJADA",NULL,,"2020-08-25 02:09:33","2020-08-25 02:35:49","1"
"SR_HO_0011","RA_ME_0005","HOJA DE LATA",,,"2018-02-07 22:47:48","2018-02-07 22:47:48","1"
"SR_LA_0049","RA_LA_0010","LABRADO",NULL,,"2020-08-25 02:19:13","2020-08-25 02:35:49","1"
"SR_MA_0025","RA_MA_0007","TALLA",,,"2020-07-25 22:50:16","2020-08-25 01:35:59","1"
"SR_MA_0026","RA_MA_0007","TORNEADO",NULL,,"2020-07-25 22:50:16","2020-08-25 01:35:59","1"
"SR_MA_0027","RA_MA_0007","LAUDERÍA",NULL,,"2020-07-25 22:53:21","2020-08-25 01:35:59","1"
"SR_MA_0028","RA_MA_0007","MARQUETERÍA",NULL,,"2020-07-25 22:53:21","2020-08-25 01:35:59","1"
"SR_MA_0029","RA_MA_0007","MUEBLE TÍPICO",NULL,,"2020-07-25 22:54:54","2020-08-25 01:35:59","1"
"SR_MA_0030","RA_MA_0007","JUGUETE POPULAR",NULL,,"2020-07-25 22:54:54","2020-08-25 01:35:59","1"
"SR_ME_0033","RA_ME_0005","METAL REPUJADO",NULL,,"2020-08-25 02:07:15","2020-08-25 02:35:49","1"
"SR_ME_0034","RA_ME_0005","METAL MARTILLADO",NULL,,"2020-08-25 02:08:52","2020-08-25 02:35:49","1"
"SR_ME_0035","RA_ME_0005","METAL COLOREADO",NULL,,"2020-08-25 02:08:52","2020-08-25 02:35:49","1"
"SR_ME_0038","RA_OR_0004","METALES MARTILLADOS",NULL,,"2020-08-25 02:12:23","2020-08-25 02:35:49","1"
"SR_ME_0039","RA_OR_0004","METALES CINCELADOS",NULL,,"2020-08-25 02:12:23","2020-08-25 02:35:49","1"
"SR_NA_0000","NA_00_0000","SIN ASIGNAR","SIN ASIGNAR","SIN ASIGNAR","2020-08-25 02:23:28","2020-08-25 02:23:28","1"
"SR_NU_0006","RA_AL_0008","BARRO VERDE",NULL,,"2017-10-24 17:57:46","2020-08-25 02:28:44","1"
"SR_PA_0043","RA_CA_0017","PAPEL PICADO",NULL,,"2020-08-25 02:15:04","2020-08-25 02:35:49","1"
"SR_PA_0044","RA_CA_0017","AGLUTINADO",NULL,,"2020-08-25 02:15:04","2023-04-10 12:28:47","1"
"SR_PI_0012","RA_TA_0011","PIEL",,"BOLSAS, MONEDEROS, CARTERAS","2018-03-14 16:00:25","2020-07-25 20:55:48","1"
"SR_PI_0050","RA_LA_0010","PIEZAS",NULL,,"2020-08-25 02:19:13","2020-08-25 02:35:49","1"
"SR_PI_0053","RA_HU_0013","PIEZAS TALLADAS",NULL,,"2020-08-25 02:21:35","2020-08-25 02:35:49","1"
"SR_PL_0061","RA_PL_0016","PLUMARIA",NULL,,"2020-08-25 02:32:37","2020-08-25 02:32:37","1"
"SR_PU_0052","RA_LA_0010","PULIDO",NULL,,"2020-08-25 02:20:14","2020-08-25 02:35:49","1"
"SR_RE_0004","RA_AL_0008","BARRO NEGRO",NULL,,"2017-10-24 17:56:10","2020-08-25 01:38:39","1"
"SR_RE_0040","RA_JO_0003","REPUJADO",NULL,,"2020-08-25 02:13:19","2020-08-25 02:35:49","1"
"SR_RE_0055","RA_HU_0013","RECORTADAS",NULL,,"2020-08-25 02:22:02","2020-08-25 02:35:49","1"
"SR_SA_0000","NA_00_0000","SIN ASIGNAR","SIN ASIGNAR","SIN ASIGNAR","2020-08-25 02:23:28","2020-08-25 02:23:28","1"
"SR_SO_0056","RA_VI_0015","SOPLADO",NULL,,"2020-08-25 02:22:59","2020-08-25 02:35:49","1"
"SR_TA_0014","RA_VA_0012","TALLA DE HUESO",,,"2018-04-16 18:19:48","2018-04-16 18:19:48","1"
"SR_TE_0001","RA_AL_0008","BARRO ROJO",,,"2017-10-24 17:54:34","2017-11-07 01:06:50","1"
"SR_TE_0002","RA_AL_0008","BARRO POLICROMADO",NULL,,"2017-10-24 17:54:55","2020-08-25 02:05:51","1"
"SR_TE_0003","RA_TE_0001","TEXTIL DE ALGODON",,,"2017-10-24 17:55:51","2017-11-07 01:08:45","1"
"SR_TE_0008","RA_TE_0001","TEXTIL DE SEDA",,,"2017-11-07 01:09:29","2017-11-07 01:09:29","1"
"SR_TE_0016","RA_TE_0001","LANA O ALGODÓN EN TELAR DE PEDAL",NULL,,"2020-07-25 22:41:46","2020-08-25 01:35:59","1"
"SR_TE_0017","RA_TE_0001","LANA Y ALGODÓN EN TELAR DE CINTURA U OTATE",NULL,,"2020-07-25 22:41:46","2020-08-25 01:35:59","1"
"SR_TE_0018","RA_TE_0001","BORDADOS",NULL,,"2020-07-25 22:43:19","2020-08-25 01:35:59","1"
"SR_TE_0019","RA_TE_0001","DESHILADOS",NULL,,"2020-07-25 22:43:19","2020-08-25 01:35:59","1"
"SR_TE_0020","RA_TE_0001","EMPUNTADOS",NULL,,"2020-07-25 22:44:12","2020-08-25 01:35:59","1"
"SR_TE_0021","RA_TE_0001","CADEJEADO O RECARGUE",NULL,,"2020-07-25 22:44:12","2020-08-25 01:35:59","1"
"SR_TE_0022","RA_TE_0001","TAPICES Y TAPETES",NULL,,"2020-07-25 22:45:15","2020-08-25 01:35:59","1"
"SR_TE_0023","RA_TE_0001","TINTES NATURALES",NULL,,"2020-07-25 22:45:15","2020-08-25 01:35:59","1"
"SR_TE_0024","RA_TE_0001","INDUMENTARIA TRADICIONAL",NULL,,"2020-07-25 22:45:54","2020-08-25 01:35:59","1"
"SR_TO_0054","RA_HU_0013","TORNEADAS",NULL,,"2020-08-25 02:21:35","2020-08-25 02:35:49","1"
"SR_TR_0005","RA_TE_0001","TEXTIL DE LANA",,,"2017-10-24 17:56:35","2017-11-07 01:09:11","1"
"SR_VA_0036","RA_ME_0005","VACIADO DE METALES",NULL,,"2020-08-25 02:09:33","2020-08-25 02:35:49","1"
"SR_VE_0031","RA_CE_0006","VELAS MOLDEADAS",NULL,,"2020-08-25 02:03:46","2020-08-25 02:35:49","1"
"SR_VE_0032","RA_CE_0006","VELAS ESCAMADAS",NULL,,"2020-08-25 02:03:46","2020-08-25 02:35:49","1"
"SR_VE_0060","RA_MA_0009","MATERIALES DIVERSOS (OTROS)",NULL,,"2020-08-25 02:31:08","2020-08-25 02:31:08","1"
"SR_VI_0058","RA_VI_0015","VITRALES",NULL,,"2020-08-25 02:23:28","2020-08-25 02:23:28","1"
