"id_distrito","distrito","id_region"
"1","CENTRO","8"
"2","COIXTLAHUACA","4"
"3","CUICATLAN","1"
"4","CHOAPAM","5"
"5","EJUTLA","8"
"6","ETLA","8"
"7","HUAJUAPAN","4"
"8","IXTLAN","6"
"9","JAMILTEPEC","2"
"10","JUCHITAN","3"
"11","JUQUILA","2"
"12","JUXTLAHUACA","4"
"13","MIAHUATLAN","7"
"14","MIXE","6"
"15","NOCHIXTLAN","4"
"16","OCOTLAN","8"
"17","POCHUTLA","2"
"18","PUTLA","7"
"19","SILACAYOAPAM","4"
"20","SOLA DE VEGA","7"
"21","TEHUANTEPEC","3"
"22","TEOTITLAN","1"
"23","TEPOSCOLULA","4"
"24","TLACOLULA","8"
"25","TLAXIACO","4"
"26","TUXTEPEC","5"
"27","VILLA ALTA","6"
"28","YAUTEPEC","7"
"29","ZAACHILA","8"
"30","ZIMATLAN","8"
