"id_localidad","localidad","id_municipio","ambito","latitud","longitud","lat_decimal","lon_decimal","altitud"
"1","ABEJONES","1","U","17°26´08.708""N","096°36´29.427""W","17.435752","-96.608174","2254"
"2","ACATLÁN DE PÉREZ FIGUEROA","2","U","18°32´18.828""N","096°36´27.396""W","18.538563","-96.60761","131"
"3","AGUA ESCONDIDA","2","R","18°28´42.040""N","096°35´26.486""W","18.478344","-96.590691","240"
"4","ARROYO DE ENMEDIO","2","R","18°29´45.854""N","096°32´48.320""W","18.496071","-96.546756","106"
"5","ARROYO DE PITA","2","R","18°23´33.314""N","096°21´43.421""W","18.392587","-96.362061","40"
"6","ASERRADERO SEGUNDO","2","R","18°27´01.467""N","096°38´38.574""W","18.450408","-96.644048","88"
"7","BARBASCO","2","R","18°35´01.209""N","096°33´35.308""W","18.583669","-96.559808","140"
"8","CAŃADA SAN ANTONIO","2","R","18°27´34.733""N","096°38´20.309""W","18.459648","-96.638975","100"
"9","CAŃAMAZAL","2","R","18°33´56.396""N","096°29´38.676""W","18.565666","-96.494077","112"
"10","LA CARBONERA","2","R","18°26´46.963""N","096°25´36.233""W","18.446379","-96.426731","78"
"11","EL CARMEN (RANCHO DE LOS MONTIEL)","2","R","18°34´00.382""N","096°38´27.874""W","18.566773","-96.641076","156"
"12","EL CEDRAL","2","R","18°22´01.448""N","096°28´47.556""W","18.367069","-96.479877","61"
"13","CERRO MOJARRA","2","R","18°23´30.136""N","096°35´51.285""W","18.391704","-96.597579","61"
"14","COSOLAPA SARMIENTO","2","R","18°22´22.708""N","096°34´23.913""W","18.372974","-96.573309","60"
"15","LA DEFENSA","2","R","18°30´06.572""N","096°32´29.150""W","18.501826","-96.541431","110"
"16","ESPERANZA","2","R","18°26´15.473""N","096°23´50.444""W","18.437631","-96.397346","40"
"17","LA ESTRELLA","2","R","18°33´25.146""N","096°38´16.097""W","18.556985","-96.637805","149"
"18","GUADALUPE DE LOS REYES","2","R","18°33´11.945""N","096°37´51.934""W","18.553318","-96.631093","162"
"19","LA ISLETA","2","R","18°28´55.317""N","096°26´13.948""W","18.482033","-96.437208","62"
"20","JOLIETTE","2","R","18°24´49.994""N","096°22´37.986""W","18.413887","-96.377218","40"
