"id_municipio","municipio","tipo","id_distrito","latitud","longitud","altitud","sist_norm_int"
"1","ABEJONES","470","8","17.435","-96.60666667","2220","Sistemas normativos internos"
"2","ACATLAN DE PEREZ FIGUEROA","INTEROCEANICO","26","18.53888889","-96.60555556","130","Partidos politicos"
"3","ASUNCION CACALOTEPEC","INTEROCEANICO","14","17.03416667","-95.95611111","2010","Sistemas normativos internos"
"4","ASUNCION CUYOTEPEJI","INTEROCEANICO","7","17.93027778","-97.67333333","1740","Partidos politicos"
"5","ASUNCION IXTALTEPEC","INTEROCEANICO","10","16.50194444","-95.05916667","40","Partidos politicos"
"6","ASUNCION NOCHIXTLAN","INTEROCEANICO","15","17.45722222","-97.225","2080","Partidos politicos"
"7","ASUNCION OCOTLAN","INTEROCEANICO","16","16.75888889","-96.72083333","1480","Partidos politicos"
"8","IXTLAN","INTEROCEANICO","8","16.29944444","-95.72583333","350","Sistemas normativos internos"
"9","AYOTZINTEPEC","470","26","17.67361111","-96.12777778","120","Partidos politicos"
"10","BARRIO DE LA SOLEDAD, EL","INTEROCEANICO","10","16.80388889","-95.11222222","250","Partidos politicos"
"11","CALIHUALA","INTEROCEANICO","19","17.53055556","-98.27833333","1320","Sistemas normativos internos"
"12","CANDELARIA LOXICHA","INTEROCEANICO","17","15.92555556","-96.49166667","440","Sistemas normativos internos"
"13","CIENEGA DE ZIMATLAN","INTEROCEANICO","30","16.89694444","-96.76666667","1490","Partidos politicos"
"14","CIUDAD IXTEPEC","470","10","16.56277778","-95.1","60","Partidos politicos"
"15","COATECAS ALTAS","470","5","16.53583333","-96.67472222","1560","Sistemas normativos internos"
"16","COICOYAN DE LAS FLORES","INTEROCEANICO","12","17.27222222","-98.275","1980","Sistemas normativos internos"
"17","COMPAÑIA, LA","INTEROCEANICO","5","16.5575","-96.81972222","1370","Sistemas normativos internos"
"18","CONCEPCION BUENAVISTA","INTEROCEANICO","2","17.87777778","-97.39944444","2120","Sistemas normativos internos"
"19","CONCEPCION PAPALO","INTEROCEANICO","3","17.84166667","-96.88055556","2100","Sistemas normativos internos"
"20","CONSTANCIA DEL ROSARIO","470","18","17.03888889","-97.94027778","760","Sistemas normativos internos"
"21","COSOLAPA","470","26","18.60194444","-96.68277778","220","Partidos politicos"
"22","COSOLTEPEC","470","7","18.14166667","-97.79027778","1850","Sistemas normativos internos"
"23","CUILAPAM DE GUERRERO","INTEROCEANICO","1","16.99722222","-96.78166667","1570","Partidos politicos"
"24","CUYAMECALCO VILLA DE ZARAGOZA","470","3","17.96388889","-96.83055556","1710","Sistemas normativos internos"
"25","CHAHUITES","470","10","16.28666667","-94.19555556","20","Partidos politicos"
"26","CHALCATONGO DE HIDALGO","470","25","17.02916667","-97.56944444","2460","Partidos politicos"
"27","CHIQUIHUITLAN DE BENITO JUAREZ","INTEROCEANICO","3","17.99444444","-96.74444444","1210","Sistemas normativos internos"
"28","HEROICA CIUDAD DE EJUTLA DE CRESPO","470","5","16.56305556","-96.7325","1450","Partidos politicos"
"29","ELOXOCHITLAN DE FLORES MAGON","INTEROCEANICO","22","18.17611111","-96.87583333","1340","Sistemas normativos internos"
"30","ESPINAL, EL","INTEROCEANICO","10","16.48472222","-95.04166667","30","Partidos politicos"
"31","TAMAZULAPAM DEL ESPIRITU SANTO","INTEROCEANICO","14","17.055","-96.06527778","2030","Sistemas normativos internos"
"32","FRESNILLO DE TRUJANO","470","7","17.9075","-98.13611111","1060","Partidos politicos"
"33","GUADALUPE ETLA","470","6","17.17055556","-96.81027778","1600","Sistemas normativos internos"
"34","GUADALUPE DE RAMIREZ","INTEROCEANICO","19","17.755","-98.16416667","1160","Partidos politicos"
"35","GUELATAO DE JUAREZ","INTEROCEANICO","8","17.31805556","-96.49305556","1800","Sistemas normativos internos"
"36","GUEVEA DE HUMBOLDT","470","21","16.7925","-95.36861111","600","Sistemas normativos internos"
"37","MESONES HIDALGO","470","18","16.91444444","-97.96611111","430","Sistemas normativos internos"
"38","VILLA HIDALGO","470","27","17.18472222","-96.17777778","1190","Sistemas normativos internos"
"39","HEROICA CIUDAD DE HUAJUAPAN DE LEON","INTEROCEANICO","7","17.80388889","-97.77583333","1580","Partidos politicos"
"40","HUAUTEPEC","E100","22","18.10111111","-96.79694444","1680","Partidos politicos"
"41","HUAUTLA DE JIMENEZ","INTEROCEANICO","22","18.13055556","-96.84305556","1710","Partidos politicos"
"42","IXTLAN DE JUAREZ","INTEROCEANICO","8","17.33055556","-96.48722222","2040","Sistemas normativos internos"
"43","JUCHITAN DE ZARAGOZA","INTEROCEANICO","10","16.43333333","-95.01944444","20","Partidos politicos"
"44","LOMA BONITA","470","26","18.10694444","-95.88055556","30","Partidos politicos"
"45","MAGDALENA APASCO","470","6","17.24083333","-96.82083333","1660","Sistemas normativos internos"
"46","MAGDALENA JALTEPEC","470","15","17.32111111","-97.22","2010","Sistemas normativos internos"
